,contract,order,orderStatus,fills,log,advancedError
0,"Forex('EURUSD', conId=12087792, right='?', exchange='IDEALPRO', localSymbol='EUR.USD', tradingClass='EUR.USD')","Order(orderId=6, clientId=1, permId=1258385411, action='SELL', totalQuantity=20.0, orderType='LMT', lmtPrice=1.11, auxPrice=0.0, tif='DAY', ocaType=3, displaySize=2147483647, trailStopPrice=0.1100000000000001, openClose='', volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', adjustedOrderType='None', cashQty=0.0, dontUseAutoPriceForHedge=True)","OrderStatus(orderId=6, status='Submitted', filled=0.0, remaining=20.0, avgFillPrice=0.0, permId=1258385411, parentId=0, lastFillPrice=0.0, clientId=1, whyHeld='', mktCapPrice=0.0)",[],"[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 54, 10, 890204, tzinfo=datetime.timezone.utc), status='Submitted', message='', errorCode=0)]",
1,"Forex('EURUSD', conId=12087792, right='?', exchange='IDEALPRO', localSymbol='EUR.USD', tradingClass='EUR.USD')","Order(orderId=11, clientId=1, permId=1258385426, action='BUY', totalQuantity=20000.0, orderType='LMT', lmtPrice=0.05, auxPrice=0.0, tif='DAY', ocaType=3, displaySize=2147483647, trailStopPrice=1.05, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', adjustedOrderType='None', cashQty=0.0, dontUseAutoPriceForHedge=True)","OrderStatus(orderId=11, status='Submitted', filled=0.0, remaining=20000.0, avgFillPrice=0.0, permId=1258385426, parentId=0, lastFillPrice=0.0, clientId=1, whyHeld='', mktCapPrice=0.0)",[],"[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 54, 10, 892168, tzinfo=datetime.timezone.utc), status='Submitted', message='', errorCode=0)]",
2,"Stock(conId=4815747, symbol='NVDA', right='?', exchange='SMART', currency='USD', localSymbol='NVDA', tradingClass='NMS')","Order(permId=1258385537, action='SELL', orderType='LMT', lmtPrice=121.97, auxPrice=0.0, tif='DAY', ocaType=3, orderRef='ActivityMonitor', displaySize=2147483647, trailStopPrice=120.97, openClose='', volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4815747, symbol='NVDA', right='?', exchange='SMART', currency='USD', localSymbol='NVDA', tradingClass='NMS'), execution=Execution(execId='00012ec5.635369d4.01.01', time=datetime.datetime(2022, 10, 20, 19, 25, 37, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='ISLAND', side='SLD', shares=1.0, price=122.0, permId=1258385537, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=122.0, orderRef='ActivityMonitor', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2), commissionReport=CommissionReport(execId='00012ec5.635369d4.01.01', commission=1.002924, currency='USD', realizedPNL=-1.902924, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 25, 37, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 25, 37, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@122.0', errorCode=0)]",
3,"Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS')","Order(permId=1258385600, action='BUY', orderType='MKT', lmtPrice=0.0, auxPrice=0.0, tif='DAY', ocaType=3, displaySize=2147483647, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS'), execution=Execution(execId='00012ec5.63537917.01.01', time=datetime.datetime(2022, 10, 20, 19, 40, 9, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='EDGEA', side='BOT', shares=1.0, price=57.58, permId=1258385600, clientId=1, orderId=48, liquidation=0, cumQty=1.0, avgPrice=57.58, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2), commissionReport=CommissionReport(execId='00012ec5.63537917.01.01', commission=0.5758, currency='USD', realizedPNL=0.0, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 40, 9, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 40, 9, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@57.58', errorCode=0)]",
4,"Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS')","Order(permId=1258385602, action='SELL', totalQuantity=1.0, orderType='LMT', lmtPrice=57.6, auxPrice=0.0, tif='DAY', ocaType=3, orderRef='ActivityMonitor', displaySize=2147483647, trailStopPrice=56.6, openClose='', volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=0.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Cancelled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)",[],[],
5,"Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS')","Order(permId=1258385605, action='SELL', orderType='LMT', lmtPrice=57.58, auxPrice=0.0, tif='DAY', ocaType=3, orderRef='ActivityMonitor', displaySize=2147483647, trailStopPrice=56.58, openClose='', volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS'), execution=Execution(execId='00023e0e.6350cd9b.01.01', time=datetime.datetime(2022, 10, 20, 19, 40, 46, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='IBKRATS', side='SLD', shares=1.0, price=57.6, permId=1258385605, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=57.6, orderRef='ActivityMonitor', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2), commissionReport=CommissionReport(execId='00023e0e.6350cd9b.01.01', commission=0.577449, currency='USD', realizedPNL=-1.133249, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 40, 46, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 40, 46, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@57.6', errorCode=0)]",
6,"Stock(conId=4815747, symbol='NVDA', right='?', exchange='SMART', currency='USD', localSymbol='NVDA', tradingClass='NMS')","Order(permId=1258385479, action='BUY', orderType='MKT', lmtPrice=121.88, auxPrice=0.0, tif='DAY', ocaType=3, displaySize=2147483647, trailStopPrice=122.88, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4815747, symbol='NVDA', right='?', exchange='SMART', currency='USD', localSymbol='NVDA', tradingClass='NMS'), execution=Execution(execId='00012ec5.635366db.01.01', time=datetime.datetime(2022, 10, 20, 19, 22, 24, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='ARCA', side='BOT', shares=1.0, price=121.86, permId=1258385479, clientId=1, orderId=26, liquidation=0, cumQty=1.0, avgPrice=121.86, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2), commissionReport=CommissionReport(execId='00012ec5.635366db.01.01', commission=1.0, currency='USD', realizedPNL=0.0, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 22, 24, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 22, 24, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@121.86', errorCode=0)]",
7,"Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS')","Order(permId=1258385671, action='BUY', orderType='MKT', lmtPrice=57.75, auxPrice=0.0, tif='DAY', ocaType=3, displaySize=2147483647, trailStopPrice=58.75, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS'), execution=Execution(execId='00012ec5.63538275.01.01', time=datetime.datetime(2022, 10, 20, 19, 50, 11, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='PEARL', side='BOT', shares=1.0, price=57.75, permId=1258385671, clientId=1, orderId=56, liquidation=0, cumQty=1.0, avgPrice=57.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2), commissionReport=CommissionReport(execId='00012ec5.63538275.01.01', commission=0.5804, currency='USD', realizedPNL=0.0, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 50, 11, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 50, 11, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@57.75', errorCode=0)]",
8,"Stock(conId=4815747, symbol='NVDA', right='?', exchange='SMART', currency='USD', localSymbol='NVDA', tradingClass='NMS')","Order(permId=1258385480, action='SELL', orderType='LMT', lmtPrice=121.78, auxPrice=0.0, tif='DAY', ocaType=3, orderRef='ActivityMonitor', displaySize=2147483647, trailStopPrice=120.78, openClose='', volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4815747, symbol='NVDA', right='?', exchange='SMART', currency='USD', localSymbol='NVDA', tradingClass='NMS'), execution=Execution(execId='00012ec5.6353676d.01.01', time=datetime.datetime(2022, 10, 20, 19, 23, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='ARCA', side='SLD', shares=1.0, price=121.79, permId=1258385480, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=121.79, orderRef='ActivityMonitor', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2), commissionReport=CommissionReport(execId='00012ec5.6353676d.01.01', commission=1.002919, currency='USD', realizedPNL=-2.072919, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 23, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 23, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@121.79', errorCode=0)]",
9,"Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS')","Order(permId=1258385672, action='SELL', orderType='LMT', lmtPrice=57.74, auxPrice=0.0, tif='DAY', ocaType=3, orderRef='ActivityMonitor', displaySize=2147483647, trailStopPrice=56.74, openClose='', volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, account='DU6076986', clearingIntent='IB', cashQty=0.0, dontUseAutoPriceForHedge=True, filledQuantity=1.0, refFuturesConId=2147483647, shareholder='Not an insider or substantial shareholder', parentPermId=9223372036854775807)","OrderStatus(orderId=0, status='Filled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0)","[Fill(contract=Stock(conId=4391, symbol='AMD', right='?', exchange='SMART', currency='USD', localSymbol='AMD', tradingClass='NMS'), execution=Execution(execId='00012ec5.63538336.01.01', time=datetime.datetime(2022, 10, 20, 19, 50, 57, tzinfo=datetime.timezone.utc), acctNumber='DU6076986', exchange='PEARL', side='SLD', shares=1.0, price=57.74, permId=1258385672, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=57.74, orderRef='ActivityMonitor', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1), commissionReport=CommissionReport(execId='00012ec5.63538336.01.01', commission=0.578852, currency='USD', realizedPNL=-1.169252, yield_=0.0, yieldRedemptionDate=0), time=datetime.datetime(2022, 10, 20, 19, 50, 57, tzinfo=datetime.timezone.utc))]","[TradeLogEntry(time=datetime.datetime(2022, 10, 20, 19, 50, 57, tzinfo=datetime.timezone.utc), status='Filled', message='Fill 1.0@57.74', errorCode=0)]",
